Transfers,,12/26/17,,FC PERSONAL PROPERTY T   xxx-xxx-8234 VA,Taxes,-45.09
Transfers,,12/26/17,,DOORDASH-SUPER CHICKEN   STRIPE.COM   CA,Restaurants/Dining,-35.56
Transfers,,12/26/17,,AMAZON MKTPLACE PMTS W   WWW.AMAZON.COWA,General Merchandise,-30.84
Transfers,,12/26/17,,AMAZON MKTPLACE PMTS W   WWW.AMAZON.COWA,General Merchandise,-29.94
Transfers,,12/26/17,,AMAZON MKTPLACE PMTS W   WWW.AMAZON.COWA,General Merchandise,-29.94
Transfers,,12/26/17,,TROPICAL SMOOTHIE VA-7   OAKTON       VA,Restaurants/Dining,-5.82
Transfers,,12/26/17,,MMS INOVA FAIRxxxx2200   FALLS CHURCH VA,Restaurants/Dining,-5.75
Transfers,,12/26/17,,GOVOLUTION *SERVICE FE   xxx-xxx-5000 VA,Electronics,-3.95
Transfers,,12/26/17,,USA*CANTEEN VENDING      SUITLAND     MD,Groceries,-3.95
Transfers,,12/26/17,,COCA COLA ALEXANDRIA     ALEXANDRIA   VA,Groceries,-1.5
Transfers,,12/26/17,,COCA COLA ALEXANDRIA     ALEXANDRIA   VA,Groceries,-1.5
Transfers,,12/26/17,,USAA FUNDS TRANSFER CR,Transfers,500
Transfers,,12/22/17,,H E TANNER               ANNANDALE    VA,Gasoline/Fuel,-48.8
Transfers,,12/22/17,,CAVA MEZZE GRILL GAINS   GAINESVILLE  VA,Restaurants/Dining,-22.99
Transfers,,12/22/17,,TROPICAL SMOOTHIE CAFE   xxx-xxx-5535 VA,Restaurants/Dining,-16.94
Transfers,,12/22/17,,USAA FUNDS TRANSFER CR,Transfers,200
Transfers,,12/18/17,,IRON AGE CENTREVILLE     CENTREVILLE  VA,Restaurants/Dining,-78.6
Transfers,,12/18/17,,GIANT xxxx2932 CHAIN BRIDOAKTON       VA,Groceries,-44.81
Transfers,,12/18/17,,GRUBHUBALNAKHEELLEBAN    GRUBHUB.COM  NY,Restaurants/Dining,-36.92
Transfers,,12/18/17,,MMS INOVA FAIRxxxx2200   FALLS CHURCH VA,Restaurants/Dining,-7.6
Transfers,,12/18/17,,MMS INOVA FAIRxxxx2200   FALLS CHURCH VA,Restaurants/Dining,-3.3
Transfers,,12/15/17,,APL* ITUNES.COM BILL     xxx-xxx-7753 CA,Online Services,-14.99
Transfers,,12/15/17,,SUBWAY        xxxx7975   FAIRFAX      VA,Restaurants/Dining,-8.68
Transfers,,12/14/17,,CYBERNET                 xxx-xxx-3058 CA,Electronics,-39.99
