PersonalChecking,,10/3/19,Specifically paid for her car and health ins,USAA FUNDS TRANSFER DB,Christie - Assistance,-1500
BusinessSparkVisa,,10/8/19,surgery related Dallas stay,Airbnb,Christie - Assistance,-422.1
ChasePersonalCredit,,10/13/19,flight to Dallas,SOUTHWES xxxxxxxxx5275,Christie - Assistance,-229.95
ChasePersonalCredit,,10/13/19,flight to Dallas,SOUTHWES xxxxxxxxx5274,Christie - Assistance,-229.95
PersonalChecking,,10/15/19,PAY Christies TAX accountant,USAA FUNDS TRANSFER DB,Christie - Assistance,-762
PersonalChecking,,10/22/19,Loan Paid Christie's FED TAX 2019 ,CHECK # 0000001091,Christie - Assistance,-7185
PersonalChecking,,10/25/19,Loan CHECK # 0000001090 State VA 2018 TAX CBC,CHECK # 0000001090,Christie - Assistance,-1103
JointChecking,,10/28/19,loan - she paid to change a flight on our joint card, UNITED      0161543748642800-932-2732 TX~~08888~~459954******4846~~02480~~0~~~~0079,Christie - Assistance,-200
ChasePersonalCredit,,10/30/19,loan - surgery ,DPSI-COSMETIC,Christie - Assistance,-4800
ChasePersonalCredit,,10/30/19,loan - surgery,DALLAS DAY SURG TX N,Christie - Assistance,-1110
BusinessSparkVisa,,10/31/19,surgery related Dallas stay,Airbnb,Christie - Assistance,-422.09
ChasePersonalCredit,,1/21/19,,FRANCESCA'S B244,Clothing/Shoes,-35.62
ChasePersonalCredit,,1/22/19,,CHICO'S #0141,Clothing/Shoes,-21.14
ChasePersonalCredit,,1/23/19,,FRANCESCA'S B244,Clothing/Shoes,35.62
ChasePersonalCredit,,2/4/19,,TALBOTS #0168,Clothing/Shoes,-110.24
ChasePersonalCredit,,2/24/19,MODELL'S #81 socks,MODELL'S #81,Clothing/Shoes,-15.89
ChasePersonalCredit,,5/5/19,SQ *ALEXANDRIA & COMPANY JEWELRY FIX,SQ *ALEXANDRIA &amp; COMPANY,Clothing/Shoes,-75.22
ChasePersonalCredit,,5/13/19,ANTHROPOLOGIE #517 Wedding Fare,ANTHROPOLOGIE #517,Clothing/Shoes,-169.6
ChasePersonalCredit,,6/16/19,socks w alpaca,SQ *PLATINUM ALPACAS GOSQ,Clothing/Shoes,-12.72
ChasePersonalCredit,,6/16/19,,NORDSTROM #0600,Clothing/Shoes,-173.79
ChasePersonalCredit,,6/16/19,AFRICAn necklace ,SQ *GLOBAL CAMPS AFRICA,Clothing/Shoes,-25
ChasePersonalCredit,,6/16/19,ALPACA shawl triangle,SQ *PLATINUM ALPACAS GOSQ,Clothing/Shoes,-53
ChasePersonalCredit,,6/23/19,,MONTAGUE &amp; SON BIRKENSTK,Clothing/Shoes,-127.2
ChasePersonalCredit,,6/23/19,earrings,SQ *ARCHEOLOGICO GOSQ.COM,Clothing/Shoes,-53
ChasePersonalCredit,,6/24/19,NORDSTROM Spanx,NORDSTROM #0600,Clothing/Shoes,-29.68
ChasePersonalCredit,,6/24/19,,NORDSTROM #0600,Clothing/Shoes,121.85
ChasePersonalCredit,,7/5/19,,MONTAGUE &amp; SON BIRKENSTK,Clothing/Shoes,127.2
ChasePersonalCredit,,7/7/19,mother of pearl ring ,SQ *ARTS OF ASIA/ RICH BL,Clothing/Shoes,-38.16
ChasePersonalCredit,,8/16/19,,REI.COM,Clothing/Shoes,-129.71
ChasePersonalCredit,,8/18/19,,VIBRAM COMMERCE,Clothing/Shoes,-175
ChasePersonalCredit,,8/21/19,SCOUT & MOLLYS - 553 Two Pants and Top,SCOUT &amp; MOLLYS - 553,Clothing/Shoes,-274.81
ChasePersonalCredit,,8/25/19,,TROUSSEAU,Clothing/Shoes,-195.04
ChasePersonalCredit,,8/26/19,KNITS ETC - Half Cashmere mittens,KNITS ETC,Clothing/Shoes,-20.02
ChasePersonalCredit,,8/26/19,,SCOUT &amp; MOLLYS - 553,Clothing/Shoes,80.19
ChasePersonalCredit,,9/1/19,,BANANAREPUBLIC US 8185,Clothing/Shoes,-28.61
PersonalChecking,,9/16/19,NEW LOOK 1601 LONDON 2 long sleeve shirts,NEW LOOK 1601            LONDON,Clothing/Shoes,-15.17
ChasePersonalCredit,,9/29/19,Jewelry ARTS OF ASIA RICH BL,SQ *ARTS OF ASIA/ RICH BL,Clothing/Shoes,-115.54
ChasePersonalCredit,,10/6/19,,SQ *ARTS OF ASIA/ RICH BL,Clothing/Shoes,-61.48
ChasePersonalCredit,,10/18/19,,VIBRAM COMMERCE,Clothing/Shoes,175
ChasePersonalCredit,,4/10/19,AGILE COACH CAMP W,EB AGILE COACH CAMP W,Conference,-128.93
ChasePersonalCredit,,1/14/19,,AUTOMATIC PAYMENT - THANK,Credit Card Payments,5599.41
PersonalChecking,,1/15/19,,CHASE CREDIT CRD AUTOPAY    ***********2072,Credit Card Payments,-5599.41
BusinessSparkVisa,,1/21/19,,CAPITAL ONE AUTOPAY PYMT AuthDate 27-D ec,Credit Card Payments,19.99
BusinessChecking,,1/22/19,,CAPITAL ONE,Credit Card Payments,-19.99
ChasePersonalCredit,,2/14/19,,AUTOMATIC PAYMENT - THANK,Credit Card Payments,2738.37
PersonalChecking,,2/15/19,,CHASE CREDIT CRD AUTOPAY    ***********4090,Credit Card Payments,-2738.37
BusinessChecking,,2/21/19,,CAPITAL ONE,Credit Card Payments,-139.87
BusinessSparkVisa,,2/21/19,,CAPITAL ONE AUTOPAY PYMT AuthDate 27-J an,Credit Card Payments,139.87
ChasePersonalCredit,,3/14/19,,AUTOMATIC PAYMENT - THANK,Credit Card Payments,2698.07
PersonalChecking,,3/15/19,,CHASE CREDIT CRD AUTOPAY    ***********4715,Credit Card Payments,-2698.07
BusinessChecking,,3/21/19,,CAPITAL ONE,Credit Card Payments,-14.1
ChasePersonalCredit,,4/14/19,,AUTOMATIC PAYMENT - THANK,Credit Card Payments,3562.65
PersonalChecking,,4/15/19,,CHASE CREDIT CRD AUTOPAY    ***********5514,Credit Card Payments,-3562.65
BusinessChecking,,4/22/19,,ACH Withdrawal CAPITAL ONE CRCARDPMT ANDREA ...4223,Credit Card Payments,-5
BusinessSparkVisa,,4/22/19,,CAPITAL ONE AUTOPAY PYMT AuthDate 27-M ar,Credit Card Payments,5
ChasePersonalCredit,,5/14/19,,AUTOMATIC PAYMENT - THANK,Credit Card Payments,2268.03
PersonalChecking,,5/15/19,,CHASE CREDIT CRD AUTOPAY    ***********7831,Credit Card Payments,-2268.03
BusinessChecking,,5/21/19,,ACH Withdrawal CAPITAL ONE CRCARDPMT ANDREA ...0637,Credit Card Payments,-129.5
BusinessSparkVisa,,5/21/19,,CAPITAL ONE AUTOPAY PYMT AuthDate 27-A pr,Credit Card Payments,129.5
ChasePersonalCredit,,6/14/19,,AUTOMATIC PAYMENT - THANK,Credit Card Payments,2307.02
